datetime,stock_code,exchange_code,open,high,low,close,volume
2023-12-29 09:15:00,NIFTY,NSE,21754.0,21770.3,21703.9,21716.2,10819194
2023-12-29 09:20:00,NIFTY,NSE,21714.2,21726.85,21708.15,21712.55,6168101
2023-12-29 09:25:00,NIFTY,NSE,21712.95,21733.6,21709.85,21732.35,4628308
2023-12-29 09:30:00,NIFTY,NSE,21732.4,21762.05,21727.2,21759.5,4716156
2023-12-29 09:35:00,NIFTY,NSE,21758.7,21762.4,21739.55,21743.3,3954351
2023-12-29 09:40:00,NIFTY,NSE,21744.65,21744.65,21728.75,21732.2,2912879
2023-12-29 09:45:00,NIFTY,NSE,21732.55,21739.75,21727.25,21735.85,2970460
2023-12-29 09:50:00,NIFTY,NSE,21734.45,21747.25,21730.8,21743.8,3085219
2023-12-29 09:55:00,NIFTY,NSE,21744.15,21744.15,21722.4,21724.15,3408466
2023-12-29 10:00:00,NIFTY,NSE,21724.15,21744.05,21722.5,21737.6,0
2023-12-29 10:05:00,NIFTY,NSE,21737.05,21737.05,21699.0,21703.45,0
2023-12-29 10:10:00,NIFTY,NSE,21702.7,21705.65,21682.85,21683.3,0
2023-12-29 10:15:00,NIFTY,NSE,21685.9,21699.95,21683.0,21698.5,0
2023-12-29 10:20:00,NIFTY,NSE,21698.55,21716.35,21692.1,21712.25,0
2023-12-29 10:25:00,NIFTY,NSE,21711.4,21716.3,21705.7,21712.1,0
2023-12-29 10:30:00,NIFTY,NSE,21711.5,21725.55,21708.8,21719.85,0
2023-12-29 10:35:00,NIFTY,NSE,21718.55,21727.4,21712.75,21719.6,0
2023-12-29 10:40:00,NIFTY,NSE,21721.05,21722.8,21712.95,21714.4,0
2023-12-29 10:45:00,NIFTY,NSE,21714.15,21730.35,21714.15,21722.55,0
2023-12-29 10:50:00,NIFTY,NSE,21722.7,21728.15,21703.75,21708.0,0
2023-12-29 10:55:00,NIFTY,NSE,21708.6,21713.6,21704.7,21710.65,0
2023-12-29 11:00:00,NIFTY,NSE,21710.85,21716.05,21705.65,21710.1,0
2023-12-29 11:05:00,NIFTY,NSE,21710.3,21716.7,21707.85,21712.6,0
2023-12-29 11:10:00,NIFTY,NSE,21714.95,21721.7,21712.45,21720.05,0
2023-12-29 11:15:00,NIFTY,NSE,21718.85,21732.45,21717.6,21732.2,0
2023-12-29 11:20:00,NIFTY,NSE,21732.2,21735.7,21726.55,21733.85,0
2023-12-29 11:25:00,NIFTY,NSE,21734.85,21735.75,21728.7,21730.5,0
2023-12-29 11:30:00,NIFTY,NSE,21730.5,21739.75,21726.6,21737.8,0
2023-12-29 11:35:00,NIFTY,NSE,21738.3,21745.65,21737.2,21742.35,0
2023-12-29 11:40:00,NIFTY,NSE,21741.55,21741.55,21730.95,21732.95,0
2023-12-29 11:45:00,NIFTY,NSE,21731.9,21736.15,21729.45,21735.2,0
2023-12-29 11:50:00,NIFTY,NSE,21734.65,21739.85,21731.4,21739.6,0
2023-12-29 11:55:00,NIFTY,NSE,21739.1,21750.75,21737.75,21747.3,0
2023-12-29 12:00:00,NIFTY,NSE,21747.0,21749.55,21738.05,21746.65,0
2023-12-29 12:05:00,NIFTY,NSE,21745.85,21748.25,21739.3,21745.55,0
2023-12-29 12:10:00,NIFTY,NSE,21745.2,21746.5,21734.45,21737.9,0
2023-12-29 12:15:00,NIFTY,NSE,21736.95,21746.1,21736.75,21745.2,0
2023-12-29 12:20:00,NIFTY,NSE,21743.75,21752.2,21741.55,21749.7,0
2023-12-29 12:25:00,NIFTY,NSE,21749.05,21750.05,21735.25,21736.2,0
2023-12-29 12:30:00,NIFTY,NSE,21735.25,21735.7,21723.45,21731.65,0
2023-12-29 12:35:00,NIFTY,NSE,21731.75,21734.9,21717.7,21720.2,0
2023-12-29 12:40:00,NIFTY,NSE,21719.8,21722.85,21708.65,21712.0,0
2023-12-29 12:45:00,NIFTY,NSE,21712.1,21722.5,21708.55,21722.5,0
2023-12-29 12:50:00,NIFTY,NSE,21720.35,21722.45,21707.45,21717.8,0
2023-12-29 12:55:00,NIFTY,NSE,21717.1,21718.9,21708.55,21711.3,0
2023-12-29 13:00:00,NIFTY,NSE,21708.95,21732.55,21708.95,21732.5,0
2023-12-29 13:05:00,NIFTY,NSE,21732.65,21739.9,21732.3,21737.3,0
2023-12-29 13:10:00,NIFTY,NSE,21735.95,21742.05,21731.05,21738.75,0
2023-12-29 13:15:00,NIFTY,NSE,21738.1,21743.5,21729.3,21731.35,0
2023-12-29 13:20:00,NIFTY,NSE,21730.05,21736.2,21725.45,21732.95,0
2023-12-29 13:25:00,NIFTY,NSE,21731.95,21735.15,21716.65,21717.6,0
2023-12-29 13:30:00,NIFTY,NSE,21716.65,21726.65,21712.4,21720.4,0
2023-12-29 13:35:00,NIFTY,NSE,21719.5,21726.05,21708.0,21712.4,0
2023-12-29 13:40:00,NIFTY,NSE,21710.4,21725.1,21706.6,21722.95,0
2023-12-29 13:45:00,NIFTY,NSE,21722.2,21728.6,21716.65,21723.15,0
2023-12-29 13:50:00,NIFTY,NSE,21722.7,21727.1,21717.65,21718.7,0
2023-12-29 13:55:00,NIFTY,NSE,21718.4,21722.8,21713.35,21716.9,0
2023-12-29 14:00:00,NIFTY,NSE,21716.25,21728.9,21715.1,21726.4,0
2023-12-29 14:05:00,NIFTY,NSE,21724.95,21728.6,21709.6,21710.35,0
2023-12-29 14:10:00,NIFTY,NSE,21710.2,21713.5,21690.15,21692.2,0
2023-12-29 14:15:00,NIFTY,NSE,21692.9,21697.5,21686.05,21692.7,0
2023-12-29 14:20:00,NIFTY,NSE,21693.0,21699.95,21677.3,21677.3,0
2023-12-29 14:25:00,NIFTY,NSE,21681.7,21697.55,21679.7,21691.25,0
2023-12-29 14:30:00,NIFTY,NSE,21690.15,21708.2,21688.75,21707.5,0
2023-12-29 14:35:00,NIFTY,NSE,21707.85,21718.5,21706.3,21711.5,0
2023-12-29 14:40:00,NIFTY,NSE,21711.25,21717.8,21702.9,21705.65,0
2023-12-29 14:45:00,NIFTY,NSE,21705.65,21718.45,21704.35,21714.5,0
2023-12-29 14:50:00,NIFTY,NSE,21714.4,21727.3,21709.25,21720.2,0
2023-12-29 14:55:00,NIFTY,NSE,21720.4,21737.8,21720.4,21732.85,0
2023-12-29 15:00:00,NIFTY,NSE,21731.25,21758.5,21731.25,21739.1,0
2023-12-29 15:05:00,NIFTY,NSE,21738.75,21747.2,21727.9,21736.0,0
2023-12-29 15:10:00,NIFTY,NSE,21734.6,21739.2,21714.0,21716.3,0
2023-12-29 15:15:00,NIFTY,NSE,21716.75,21733.8,21716.75,21723.3,0
2023-12-29 15:20:00,NIFTY,NSE,21724.15,21726.1,21711.3,21723.65,0
2023-12-29 15:25:00,NIFTY,NSE,21723.35,21739.35,21722.5,21728.3,0
2023-12-29 15:30:00,NIFTY,NSE,21726.45,21731.4,21726.45,21731.4,0
2023-12-29 15:35:00,NIFTY,NSE,21731.4,21731.4,21731.4,21731.4,0
2024-01-01 09:05:00,NIFTY,NSE,21727.75,21727.75,21727.75,21727.75,0
2024-01-01 09:15:00,NIFTY,NSE,21732.15,21737.35,21693.55,21693.75,5961283
2024-01-01 09:20:00,NIFTY,NSE,21693.9,21701.05,21684.75,21695.65,3957491
2024-01-01 09:25:00,NIFTY,NSE,21697.3,21704.1,21693.2,21700.8,2627128
2024-01-01 09:30:00,NIFTY,NSE,21700.15,21705.8,21684.05,21703.05,2488716
2024-01-01 09:35:00,NIFTY,NSE,21702.2,21711.9,21689.7,21689.7,3095548
2024-01-01 09:40:00,NIFTY,NSE,21688.0,21708.45,21685.75,21706.05,2600979
2024-01-01 09:45:00,NIFTY,NSE,21705.4,21720.7,21703.3,21720.45,2501541
2024-01-01 09:50:00,NIFTY,NSE,21719.35,21737.65,21717.65,21731.45,3001768
2024-01-01 09:55:00,NIFTY,NSE,21731.95,21732.85,21720.1,21726.3,2321551
2024-01-01 10:00:00,NIFTY,NSE,21726.6,21732.25,21721.5,21723.0,0
2024-01-01 10:05:00,NIFTY,NSE,21723.5,21727.1,21709.05,21714.55,0
2024-01-01 10:10:00,NIFTY,NSE,21714.65,21714.65,21702.85,21709.65,0
